Application_Date,employer_name,employer_city,Processing_Office,employer_postal_code,total_workers,Decision_Date,soc_code,Visa_Status,wage_rate_of_pay_from,full_time_position,wage_unit_of_pay,prevailing_wage,pw_unit_of_pay,year,CAcase_submitted,Processing_Days,Processing_Months,Visa_Type
2016-02-23,DISCOVER PRODUCTS INC,RIVERWOODS,Illinois,60015,1,2016-09-30,15-1121,CERTIFIED-WITHDRAWN,65811.0,Y,Year,59197.0,Year,2017,2016-02-23,220,7,H1B
2016-03-03,DFS SERVICES LLC,RIVERWOODS,Illinois,60015,1,2016-09-30,15-2031,CERTIFIED-WITHDRAWN,53000.0,Y,Year,49800.0,Year,2017,2016-03-03,211,7,H1B
2016-03-09,EASTBANC TECHNOLOGIES LLC,WASHINGTON,District of Columbia,20007,2,2016-09-30,15-1131,CERTIFIED-WITHDRAWN,77000.0,Y,Year,76502.0,Year,2017,2016-03-09,205,7,H1B
2016-09-27,INFO SERVICES LLC,LIVONIA,Michigan,48152,1,2016-09-30,15-1199,WITHDRAWN,102000.0,Y,Year,90376.0,Year,2017,2016-09-27,3,0,H1B
2015-02-21,BBANDT CORPORATION,WILSON,North Carolina,27893,1,2016-10-01,13-2041,CERTIFIED-WITHDRAWN,132500.0,Y,Year,116605.0,Year,2017,2015-02-21,588,20,H1B
2015-03-11,SUNTRUST BANKS INC,ATLANTA,Georgia,30308,1,2016-10-01,13-2099,CERTIFIED-WITHDRAWN,71750.0,Y,Year,59405.0,Year,2017,2015-03-11,570,19,H1B
2016-02-24,CITADEL INFORMATION SERVICES INC,ISELIN,New Jersey,8830,1,2016-10-01,13-1111,CERTIFIED-WITHDRAWN,61000.0,Y,Year,52915.0,Year,2017,2016-02-24,220,7,H1B
2016-02-24,CITADEL INFORMATION SERVICES INC,ISELIN,New Jersey,8830,1,2016-10-01,15-1131,CERTIFIED-WITHDRAWN,60500.0,Y,Year,51730.0,Year,2017,2016-02-24,220,7,H1B
2016-02-26,CITADEL INFORMATION SERVICES INC,ISELIN,New Jersey,8830,1,2016-10-01,15-1131,CERTIFIED-WITHDRAWN,60450.0,Y,Year,58053.0,Year,2017,2016-02-26,218,7,H1B
2016-02-27,CITADEL INFORMATION SERVICES INC,ISELIN,New Jersey,8830,1,2016-10-01,13-1161,CERTIFIED-WITHDRAWN,50000.0,Y,Year,46821.0,Year,2017,2016-02-27,217,7,H1B
2016-02-28,CITADEL INFORMATION SERVICES INC,ISELIN,New Jersey,8830,1,2016-10-01,15-1131,CERTIFIED-WITHDRAWN,60400.0,Y,Year,58053.0,Year,2017,2016-02-28,216,7,H1B
2016-03-22,ADVANCED TECHNOLOGY GROUP USA INC,PLAINSBORO,New Jersey,8536,1,2016-10-01,15-1131,CERTIFIED-WITHDRAWN,63200.0,Y,Year,63170.0,Year,2017,2016-03-22,193,6,H1B
2016-03-22,ADVANCED TECHNOLOGY GROUP USA INC,PLAINSBORO,New Jersey,8536,1,2016-10-01,15-1131,CERTIFIED-WITHDRAWN,60100.0,Y,Year,51730.0,Year,2017,2016-03-22,193,6,H1B
2016-03-22,ADVANCED TECHNOLOGY GROUP USA INC,PLAINSBORO,New Jersey,8536,1,2016-10-01,15-1132,CERTIFIED-WITHDRAWN,64000.0,Y,Year,63877.0,Year,2017,2016-03-22,193,6,H1B
2016-03-22,ADVANCED TECHNOLOGY GROUP USA INC,PLAINSBORO,New Jersey,8536,1,2016-10-01,15-1131,CERTIFIED-WITHDRAWN,60000.0,Y,Year,51730.0,Year,2017,2016-03-22,193,6,H1B
2016-03-23,ADVANCED TECHNOLOGY GROUP USA INC,PLAINSBORO,New Jersey,8536,1,2016-10-01,15-1132,CERTIFIED-WITHDRAWN,65000.0,Y,Year,63877.0,Year,2017,2016-03-23,192,6,H1B
2016-10-01,ITAS INC,INDIANAPOLIS,Indiana,46240,1,2016-10-01,15-1121,WITHDRAWN,55000.0,Y,Year,54600.0,Year,2017,2016-10-01,0,0,H1B
2013-09-16,BATTELLE,RICHLAND,Washington,99354,1,2016-10-02,19-1029,CERTIFIED-WITHDRAWN,60000.0,Y,Year,39853.0,Year,2017,2013-09-16,1112,37,H1B
2013-09-17,HARMONY SCIENCE ACADEMYHOUSTON HIGH,HOUSTON,Texas,77099,1,2016-10-02,25-2031,CERTIFIED-WITHDRAWN,43110.0,Y,Year,43110.0,Year,2017,2013-09-17,1111,37,H1B
2013-09-17,HARMONY SCIENCE ACADEMYWACO,WACO,Texas,76710,1,2016-10-02,25-2031,CERTIFIED-WITHDRAWN,38970.0,Y,Year,38970.0,Year,2017,2013-09-17,1111,37,H1B
2013-09-22,IDC TECHNOLOGIES INC,MILPITAS,California,95035,1,2016-10-02,15-1121,CERTIFIED-WITHDRAWN,104000.0,Y,Year,96845.0,Year,2017,2013-09-22,1106,37,H1B
2013-10-17,BATTELLE,RICHLAND,Washington,99354,1,2016-10-02,19-1029,CERTIFIED-WITHDRAWN,60007.9999999999,N,Hour,39852.8,Hour,2017,2013-10-17,1081,36,H1B
2013-10-20,OREGON HEALTH AND SCIENCE UNIVERSITY,PORTLAND,Oregon,97239,1,2016-10-02,19-1029,CERTIFIED-WITHDRAWN,40706.0,Y,Year,40706.0,Year,2017,2013-10-20,1078,36,H1B
2013-10-23,GIMMAL LLC,HOUSTON,Texas,77046,1,2016-10-02,15-1132,CERTIFIED-WITHDRAWN,78000.0,Y,Year,77875.0,Year,2017,2013-10-23,1075,36,H1B
2013-12-03,HARMONY SCIENCE ACADEMYEULESS,EULESS,Texas,76040,1,2016-10-02,25-2031,CERTIFIED-WITHDRAWN,45540.0,Y,Year,45540.0,Year,2017,2013-12-03,1034,34,H1B
2013-12-22,PLANTRONICS INC,SANTA CRUZ,California,95060,1,2016-10-02,15-1132,CERTIFIED-WITHDRAWN,66331.0,Y,Year,66331.0,Year,2017,2013-12-22,1015,34,H1B
2013-12-22,THE UNIVERSITY OF CHICAGO,CHICAGO,Illinois,60637,1,2016-10-02,19-1021,CERTIFIED-WITHDRAWN,39611.0,Y,Year,37440.0,Year,2017,2013-12-22,1015,34,H1B
2014-02-23,UNIVERSITY OF CALIFORNIA LOS ANGELES,LOS ANGELES,California,90095,1,2016-10-02,19-1042,CERTIFIED-WITHDRAWN,47244.0,Y,Year,47244.0,Year,2017,2014-02-23,952,32,H1B
2014-02-25,AXCESS FINANCIAL SERVICES INC,CINCINNATI,Ohio,45236,1,2016-10-02,15-2041,CERTIFIED-WITHDRAWN,70000.0,Y,Year,46696.0,Year,2017,2014-02-25,950,32,H1B
2014-02-26,WASHINGTON STATE UNIVERSITY,PULLMAN,Washington,99164,1,2016-10-02,19-1013,CERTIFIED-WITHDRAWN,41600.0,Y,Year,35734.0,Year,2017,2014-02-26,949,32,H1B
2014-03-03,JB HUNT TRANSPORT SERVICES INC,LOWELL,Arkansas,72745,1,2016-10-02,15-1199,CERTIFIED-WITHDRAWN,45302.0,Y,Year,45302.0,Year,2017,2014-03-03,944,31,H1B
2014-03-10,TECHTOMIX LLC,CONCORD,North Carolina,28205,1,2016-10-02,15-1121,CERTIFIED-WITHDRAWN,62866.0,Y,Year,57866.0,Year,2017,2014-03-10,937,31,H1B
2014-03-10,TECHTOMIX LLC,CONCORD,North Carolina,28205,1,2016-10-02,15-1121,CERTIFIED-WITHDRAWN,62866.0,Y,Year,57866.0,Year,2017,2014-03-10,937,31,H1B
2014-03-11,SEQUENOM CENTER FOR MOLECULAR MEDICINE LLC,GRAND RAPIDS,Michigan,49503,1,2016-10-02,19-1029,CERTIFIED-WITHDRAWN,98914.0,Y,Year,60819.0,Year,2017,2014-03-11,936,31,H1B
2014-03-19,CAREMARK LLC,IRVING,Texas,75039,1,2016-10-02,15-1132,CERTIFIED-WITHDRAWN,57200.0,Y,Year,50128.0,Year,2017,2014-03-19,928,31,H1B
2014-03-24,HEARST COMMUNICATIONS INC,NEW YORK,New York,10019,1,2016-10-02,2022-11-01 00:00:00,CERTIFIED-WITHDRAWN,120000.0,Y,Year,97900.0,Year,2017,2014-03-24,923,31,H1B
2014-03-24,TECHTOMIX LLC,CONCORD,North Carolina,28205,1,2016-10-02,15-1121,CERTIFIED-WITHDRAWN,62866.0,Y,Year,57866.0,Year,2017,2014-03-24,923,31,H1B
2014-04-23,LIBSYS INC,NAPERVILLE,Illinois,60563,1,2016-10-02,15-1132,CERTIFIED-WITHDRAWN,87600.0,Y,Year,87547.0,Year,2017,2014-04-23,893,30,H1B
2014-06-11,TARLETON STATE UNIVERSITY,STEPHENVILLE,Texas,76402,1,2016-10-02,15-2031,CERTIFIED-WITHDRAWN,51533.0,Y,Year,50523.0,Year,2017,2014-06-11,844,28,H1B
2014-06-16,MEDIATEK USA INC,SAN JOSE,California,95134,1,2016-10-02,17-2072,CERTIFIED-WITHDRAWN,94640.0,Y,Year,94640.0,Year,2017,2014-06-16,839,28,H1B
2014-06-19,THE UNIVERSITY OF GEORGIA,ATHENS,Georgia,30602,1,2016-10-02,17-2081,CERTIFIED-WITHDRAWN,62500.0,Y,Year,46862.0,Year,2017,2014-06-19,836,28,H1B
2014-07-02,HARMONY SCHOOL OF FINE ARTS AND TECHNOLOGY,HOUSTON,Texas,77054,1,2016-10-02,25-2031,CERTIFIED-WITHDRAWN,42330.0,Y,Year,42330.0,Year,2017,2014-07-02,823,27,H1B
2014-07-02,DOVE SCIENCE ACADEMYTULSA,TULSA,Oklahoma,74112,1,2016-10-02,25-2031,CERTIFIED-WITHDRAWN,32550.0,Y,Year,32550.0,Year,2017,2014-07-02,823,27,H1B
2014-07-02,LITTLE SCHOLARS OF ARKANSAS,SHERWOOD,Arkansas,72117,1,2016-10-02,25-2031,CERTIFIED-WITHDRAWN,38400.0,Y,Year,38400.0,Year,2017,2014-07-02,823,27,H1B
2014-07-22,HARMONY SCHOOL OF INNOVATIONDALLAS,CARROLLTON,Texas,75007,1,2016-10-02,25-2031,CERTIFIED-WITHDRAWN,43470.0,Y,Year,43470.0,Year,2017,2014-07-22,803,27,H1B
